COLUNA;OBRIGATORIA
QT_CONC_RVSOCIAL_RF;nao
QT_CONC_RVIDOSO;nao
QT_CONC_RVINTERN;nao
QT_CONC_RVMEDAL;nao
QT_CONC_RVTRANS;nao
QT_CONC_RVOUTROS;nao
QT_SIT_TRANCADA;sim
QT_SIT_DESVINCULADO;sim
QT_SIT_TRANSFERIDO;sim
QT_SIT_FALECIDO;sim
QT_ING_PROCESCPUBLICA;nao
QT_ING_PROCESCPRIVADA;nao
QT_ING_PROCNAOINFORMADA;nao
QT_MAT_PROCESCPUBLICA;nao
QT_MAT_PROCESCPRIVADA;nao
QT_MAT_PROCNAOINFORMADA;nao
QT_CONC_PROCESCPUBLICA;nao
QT_CONC_PROCESCPRIVADA;nao
QT_CONC_PROCNAOINFORMADA;nao
QT_PARFOR;nao
QT_ING_PARFOR;nao
QT_MAT_PARFOR;nao
QT_CONC_PARFOR;nao
QT_APOIO_SOCIAL;nao
QT_ING_APOIO_SOCIAL;nao
QT_MAT_APOIO_SOCIAL;nao
QT_CONC_APOIO_SOCIAL;nao
QT_ATIV_EXTRACURRICULAR;nao
QT_ING_ATIV_EXTRACURRICULAR;nao
QT_MAT_ATIV_EXTRACURRICULAR;nao
QT_CONC_ATIV_EXTRACURRICULAR;nao
QT_MOB_ACADEMICA;nao
QT_ING_MOB_ACADEMICA;nao
QT_MAT_MOB_ACADEMICA;nao
QT_CONC_MOB_ACADEMICA;nao
