CO_IES;CO_CURSO;CO_MUNICIPIO;DS_MODELO_DADOS;TP_MODALIDADE_ENSINO;ANO_INICIAL;ANO_FINAL;ANOS_ZERO;NO_IES;NO_CURSO;NO_MUNICIPIO;NU_ANO_CENSO
1205;1260026;1506195;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO FAEL;Gestão Da Tecnologia Da Informação;Rurópolis;2024
1205;1260026;2104800;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO FAEL;Gestão Da Tecnologia Da Informação;Grajaú;2022
1205;1260026;2109908;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO FAEL;Gestão Da Tecnologia Da Informação;Santa Inês;2022
1205;1260026;2304202;cadastro_cursos;2;2021;2023;3;CENTRO UNIVERSITÁRIO FAEL;Gestão Da Tecnologia Da Informação;Crato;2023
1205;1260026;2706307;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO FAEL;Gestão Da Tecnologia Da Informação;Palmeira dos Índios;2024
1205;1260026;3151800;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO FAEL;Gestão Da Tecnologia Da Informação;Poços de Caldas;2022
1205;1260026;3302205;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO FAEL;Gestão Da Tecnologia Da Informação;Itaperuna;2022
1205;1260026;3303401;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO FAEL;Gestão Da Tecnologia Da Informação;Nova Friburgo;2022
1205;1260026;4109401;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO FAEL;Gestão Da Tecnologia Da Informação;Guarapuava;2022
1205;1260026;4109708;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO FAEL;Gestão Da Tecnologia Da Informação;Ibaiti;2022
1205;1260026;4120903;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO FAEL;Gestão Da Tecnologia Da Informação;Quedas do Iguaçu;2024
1205;1260026;4205308;cadastro_cursos;2;2021;2023;3;CENTRO UNIVERSITÁRIO FAEL;Gestão Da Tecnologia Da Informação;Faxinal dos Guedes;2023
1205;1260026;4303103;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO FAEL;Gestão Da Tecnologia Da Informação;Cachoeirinha;2022
1205;1260026;4311809;cadastro_cursos;2;2020;2023;4;CENTRO UNIVERSITÁRIO FAEL;Gestão Da Tecnologia Da Informação;Marau;2023
1205;1260026;4321501;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO FAEL;Gestão Da Tecnologia Da Informação;Torres;2022
1205;1260026;5005400;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO FAEL;Gestão Da Tecnologia Da Informação;Maracaju;2022
1205;1260026;5208707;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO FAEL;Gestão Da Tecnologia Da Informação;Goiânia;2024
1205;1260026;5213806;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO FAEL;Gestão Da Tecnologia Da Informação;Morrinhos;2022
1255;1258648;2611606;cadastro_cursos;1;2021;2023;3;Centro Universitário FBV Wyden;Redes De Computadores;Recife;2023
1255;1258650;2611606;cadastro_cursos;1;2021;2023;3;Centro Universitário FBV Wyden;Gestão Da Tecnologia Da Informação;Recife;2023
1264;1132799;2408102;cadastro_cursos;1;2022;2024;3;CENTRO UNIVERSITÁRIO DO RIO GRANDE DO NORTE;Redes De Computadores;Natal;2024
1270;1170124;1718808;cadastro_cursos;2;2021;2024;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Gestão Da Tecnologia Da Informação;Sampaio;2024
1270;1170124;2110005;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Gestão Da Tecnologia Da Informação;Santa Luzia;2022
1270;1170124;2910800;cadastro_cursos;2;2021;2023;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Gestão Da Tecnologia Da Informação;Feira de Santana;2023
1270;1170124;3143104;cadastro_cursos;2;2011;2014;4;CENTRO UNIVERSITÁRIO UNISEB;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;Monte Carmelo;2014
1270;1170124;3507803;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Gestão Da Tecnologia Da Informação;Brodowski;2024
1270;1170124;3549102;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Gestão Da Tecnologia Da Informação;São João da Boa Vista;2024
1270;1170124;3549409;cadastro_cursos;2;2021;2023;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Gestão Da Tecnologia Da Informação;São Joaquim da Barra;2023
1270;1170124;4200101;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Gestão Da Tecnologia Da Informação;Abelardo Luz;2024
1270;1299253;1303403;cadastro_cursos;2;2021;2023;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Análise E Desenvolvimento De Sistemas;Parintins;2023
1270;1299253;2910800;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Análise E Desenvolvimento De Sistemas;Feira de Santana;2024
1270;1299253;3537107;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Análise E Desenvolvimento De Sistemas;Pedreira;2022
1270;1299253;4219507;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Análise E Desenvolvimento De Sistemas;Xanxerê;2022
1270;1328954;1504422;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas De Informação;Marituba;2024
1270;1328954;1721000;cadastro_cursos;2;2021;2024;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas De Informação;Palmas;2024
1270;1328954;3125101;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas De Informação;Extrema;2024
1270;1328954;3511102;cadastro_cursos;2;2021;2024;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas De Informação;Catanduva;2024
1270;1328954;3515004;cadastro_cursos;2;2021;2023;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas De Informação;Embu das Artes;2023
1270;1328954;3519253;cadastro_cursos;2;2021;2023;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas De Informação;Iaras;2023
