MOTIVO_CURADORIA;CO_IES;CO_CURSO;ANO_INICIAL;ANO_FINAL;NO_IES_LISTA;NO_CURSO_LISTA;ROTULOS_CINE_NA_SERIE;ROTULOS_CANONICOS;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;135;1485065;2019;2024;CENTRO UNIVERSITÁRIO CLARETIANO | Claretiano - Centro Universitário;ANÁLISE DE DADOS | Análise De Dados;Ciência de dados | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CIENCIA DE DADOS | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;1427;1486877;2019;2024;CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA;CIÊNCIA DE DADOS | Ciência De Dados;Ciência de dados | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CIENCIA DE DADOS | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;718;1487232;2019;2024;UNIVERSIDADE POTIGUAR;BIG DATA E INTELIGÊNCIA ANALÍTICA | Big Data E Inteligência Analítica;Ciência de dados | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CIENCIA DE DADOS | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;466;1496067;2019;2024;UNIVERSIDADE ANHEMBI MORUMBI;BIG DATA E INTELIGÊNCIA ANALÍTICA | Big Data E Inteligência Analítica;Ciência de dados | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CIENCIA DE DADOS | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;2950;1516444;2019;2024;Centro Universitário FADERGS;BIG DATA E INTELIGÊNCIA ANALÍTICA | Big Data E Inteligência Analítica;Ciência de dados | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CIENCIA DE DADOS | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;15757;1516546;2019;2024;Faculdade de Tecnologia de Barueri;DESIGN DE MÍDIAS DIGITAIS | Design De Mídias Digitais;Criação digital | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CRIACAO DIGITAL | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;16395;1516871;2019;2024;Faculdade de Tecnologia de Carapicuiba;DESIGN DE MÍDIAS DIGITAIS | Design De Mídias Digitais;Criação digital | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CRIACAO DIGITAL | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;1491;1517110;2020;2024;CENTRO UNIVERSITÁRIO INTERNACIONAL;DESENVOLVIMENTO DE APLICATIVOS PARA DISPOSITIVOS MÓVEIS | Desenvolvimento De Aplicativos Para Dispositivos Móveis | Desenvolvimento Mobile;Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação | Sistemas de informação;PROGRAMAS ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM PROCESSO DE DEFINICAO DA CLASSIFICACAO | SISTEMAS DE INFORMACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;374;1519848;2019;2024;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;BIG DATA E INTELIGÊNCIA ANALÍTICA | Big Data E Inteligência Analítica;Ciência de dados | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CIENCIA DE DADOS | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;298;1537353;2020;2024;UNIVERSIDADE PITÁGORAS UNOPAR | Universidade Pitágoras Unopar Anhanguera;DESENVOLVIMENTO MOBILE | Desenvolvimento Mobile;Engenharia de software | Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;ENGENHARIA DE SOFTWARE | PROGRAMAS ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM PROCESSO DE DEFINICAO DA CLASSIFICACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
