MOTIVO_CURADORIA;CO_IES;CO_CURSO;ANO_INICIAL;ANO_FINAL;NO_IES_LISTA;NO_CURSO_LISTA;ROTULOS_CINE_NA_SERIE;ROTULOS_CANONICOS;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;3294;1618022;2023;2024;CENTRO UNIVERSITÁRIO FAVENI;Cibersegurança;Defesa cibernética | Segurança da informação;DEFESA CIBERNETICA | SEGURANCA DA INFORMACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;3294;1619434;2023;2024;CENTRO UNIVERSITÁRIO FAVENI;Desenvolvimento De Aplicativos Para Dispositivos Móveis;Internet das coisas | Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;INTERNET DAS COISAS | PROGRAMAS ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM PROCESSO DE DEFINICAO DA CLASSIFICACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;3294;1620561;2023;2024;CENTRO UNIVERSITÁRIO FAVENI;Desenvolvimento Mobile;Engenharia de software | Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;ENGENHARIA DE SOFTWARE | PROGRAMAS ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM PROCESSO DE DEFINICAO DA CLASSIFICACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;670;1655025;2023;2024;UNIVERSIDADE SÃO FRANCISCO;Banco De Dados | Ciência De Dados;Banco de dados | Ciência de dados;BANCO DE DADOS | CIENCIA DE DADOS;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;40;18671;2009;2024;UNIVERSIDADE DO ESTADO DA BAHIA;ANALISE DE SISTEMAS | Engenharia De Software | SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;Engenharia de software | Sistemas de informação;ENGENHARIA DE SOFTWARE | SISTEMAS DE INFORMACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;583;5000499;2010;2024;UNIVERSIDADE FEDERAL DO CEARÁ;SISTEMAS E MÍDIAS DIGITAIS | Sistemas E Mídias Digitais;Criação digital | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CRIACAO DIGITAL | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;10116;5001522;2019;2024;FACULDADE DE TECNOLOGIA SENAI MATO GROSSO;AGROCOMPUTAÇÃO | Agrocomputação;Agrocomputação | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);AGROCOMPUTACAO | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;55;60188;2009;2024;UNIVERSIDADE DE SAO PAULO | UNIVERSIDADE DE SÃO PAULO;INFORMATICA BIOMEDICA | INFORMÁTICA BIOMÉDICA | Informática Biomédica;Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM BIOCIENCIAS E SAUDE | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;4522;79418;2009;2024;CENTRO UNIVERSITARIO CATOLICO SALESIANO AUXILIUM | CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO AUXILIUM;CURSO SUPERIOR DE TECNOLOGIA EM DESENVOLVIMENTO DE SISTEMAS AREA PROFISSIONAL INFORMATICA | DESENVOLVIMENTO DE SISTEMAS | Desenvolvimento De Sistemas;Engenharia de software | Sistemas de informação;ENGENHARIA DE SOFTWARE | SISTEMAS DE INFORMACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;22015;91868;2018;2024;Faculdade Municipal de Educação e Meio Ambiente;Análise E Desenvolvimento De Sistemas | INFORMÁTICA | Informática;Ciência da computação | Sistemas de informação;CIENCIA DA COMPUTACAO | SISTEMAS DE INFORMACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
