MOTIVO_CURADORIA;CO_CURSO;ANO_INICIAL;ANO_FINAL;QT_IES;CO_IES_LISTA;NO_IES_LISTA;NO_CURSO_LISTA;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;50017039;2022;2024;2;1958 | 3155;Centro Universitário SENAI Blumenau | Centro Universitário SENAI Santa Catarina | FACULDADE DE TECNOLOGIA SENAI JARAGUÁ DO SUL;Análise E Desenvolvimento De Sistemas;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;51020;2009;2024;2;396 | 397;Centro Universitário Ruy Barbosa Wyden | FACULDADE RUY BARBOSA | FACULDADE RUY BARBOSA DE TECNOLOGIA EM PROCESSAMENTO DE DADOS;SISTEMAS DE INFORMACAO | SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;51279;2009;2022;2;1919 | 2275;FACULDADE DE CIENCIAS EXATAS E TECNOLOGICAS SANTO AGOSTINHO  FACET | FACULDADE DE CIÊNCIAS EXATAS E TECNOLÓGICAS SANTO AGOSTINHO - FACET | FACULDADE SANTO AGOSTINHO;SISTEMAS DE INFORMACAO | SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;51307;2009;2024;2;15452 | 308;CENTRO UNIVERSITÁRIO UNA DE BOM DESPACHO | FACULDADE ÁLIS DE BOM DESPACHO | Faculdade Presidente Antônio Carlos de Bom Despacho | UNIVERSIDADE PRESIDENTE ANTONIO CARLOS;SISTEMAS DE INFORMACAO | SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;51331;2009;2017;2;15467 | 308;Faculdade Presidente Antônio Carlos de Visconde do Rio Branco | UNIVERSIDADE PRESIDENTE ANTONIO CARLOS;SISTEMAS DE INFORMACAO | SISTEMAS DE INFORMAÇÃO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;51364;2009;2010;2;15468 | 308;Faculdade Presidente Antônio Carlos de Leopoldina | UNIVERSIDADE PRESIDENTE ANTONIO CARLOS;SISTEMAS DE INFORMACAO | SISTEMAS DE INFORMAÇÃO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;51527;2009;2024;2;15450 | 308;Centro Universitário Única | Faculdade Presidente Antônio Carlos de Ipatinga | Faculdade Única de Ipatinga | UNIVERSIDADE PRESIDENTE ANTONIO CARLOS;SISTEMAS DE INFORMACAO | SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;53420;2009;2013;2;2123 | 907;FACULDADE DE EDUCACAO E CIENCIAS GERENCIAIS DE INDAIATUBA | FACULDADE DE EDUCAÇÃO E CIÊNCIAS GERENCIAIS DE INDAIATUBA | FACULDADE MAX PLANCK;SISTEMAS DE INFORMACAO | SISTEMAS DE INFORMAÇÃO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;54934;2009;2024;2;1883 | 2037;CENTRO UNIVERSITÁRIO UNIME | FACULDADE UNIME DE CIENCIAS EXATAS E TECNOLOGICAS | FACULDADE UNIME DE CIÊNCIAS EXATAS E TECNOLÓGICAS;SISTEMAS DE INFORMAÇÃO | Sistemas De Informação | Sistemas da Informacao;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;55173;2009;2024;2;1410 | 396;AREA  FACULDADE DE CIENCIA E TECNOLOGIA | Centro Universitário Ruy Barbosa Wyden | Faculdade Área1 Wyden | ÁREA1 - FACULDADE DE CIÊNCIA E TECNOLOGIA;ENGENHARIA - ENGENHARIA DA COMPUTACAO | ENGENHARIA DE COMPUTAÇÃO | Engenharia De Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
