MOTIVO_CURADORIA;CO_CURSO;ANO_INICIAL;ANO_FINAL;QT_IES;CO_IES_LISTA;NO_IES_LISTA;NO_CURSO_LISTA;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;74586;2009;2024;2;14156 | 308;Faculdade Presidente Antônio Carlos de Teófilo Otoni | UNIVERSIDADE PRESIDENTE ANTONIO CARLOS;SISTEMAS DE INFORMACAO | SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;74677;2009;2024;2;3804 | 4006;Centro Universitário Senac RS | FACULDADE DE TECNOLOGIA SENAC PELOTAS;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas | CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMASAGRUPAMENTO DE AREA PROFISSIONAL INFORMATICA E DE TELECOMUNICACOES;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;75412;2009;2023;3;215 | 376 | 457;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO | UNIVERSIDADE ANHANGUERA DE SÃO PAULO | UNIVERSIDADE ANHANGUERA DE SÃO PAULO - UNIAN-SP | UNIVERSIDADE DO GRANDE ABC;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES | REDES DE COMPUTADORES | Redes De Computadores;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;79537;2009;2024;2;1322 | 4043;FACULDADE EDUVALE DE AVARÉ | FACULDADE TECNOLOGIA EDUVALE  AVARE | FACULDADE TECNOLOGIA EDUVALE - AVARÉ;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas | CURSO SUPERIOR DE TECNOLOGIA EM DESENVOLVIMENTO DE SISTEMAS AREA PROFISSIONAL INFORMATICA | DESENVOLVIMENTO DE SISTEMAS;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;79908;2009;2011;2;14183 | 308;Faculdade Presidente Antônio Carlos de São João Del Rei | UNIVERSIDADE PRESIDENTE ANTONIO CARLOS;SISTEMA DE INFORMAÇÃO | SISTEMAS DE INFORMACAO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;80982;2009;2016;2;2451 | 3310;FACULDADE DE TECNOLOGIA DA AMAZONIA | FACULDADES INTEGRADAS IPIRANGA;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES AREA PROFISSIONAL INFORMATICA | REDES DE COMPUTADORES;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;8248;2009;2013;2;396 | 397;FACULDADE RUY BARBOSA | FACULDADE RUY BARBOSA DE TECNOLOGIA EM PROCESSAMENTO DE DADOS;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSAMENTO DE DADOS | PROCESSAMENTO DE DADOS;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;84763;2009;2012;2;14127 | 308;Faculdade Presidente Antônio Carlos de Campo Belo | UNIVERSIDADE PRESIDENTE ANTONIO CARLOS;SISTEMAS DE INFORMACAO | SISTEMAS DE INFORMAÇÃO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;86318;2009;2024;2;18440 | 569;UNIVERSIDADE FEDERAL DO PARA | UNIVERSIDADE FEDERAL DO PARÁ | UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ;SISTEMA DE INFORMAÇÃO | SISTEMAS DE INFORMACAO MARABA | Sistema De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;86326;2009;2024;2;15059 | 569;UNIVERSIDADE FEDERAL DO OESTE DO PARÁ | UNIVERSIDADE FEDERAL DO PARA;SISTEMAS DE INFORMACAO SANTAREM | SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;86792;2009;2024;2;1818 | 891;FACULDADE  PITÁGORAS | FACULDADE ANHANGUERA DE BELO HORIZONTE | FACULDADE PITÁGORAS DE BELO HORIZONTE | Faculdade Anhanguera de Belo Horizonte;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas | CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS AREA PROFISSIONAL INFORMATICA;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;87858;2009;2010;2;15357 | 308;Faculdade Presidente Antônio Carlos de Ubá | UNIVERSIDADE PRESIDENTE ANTONIO CARLOS;CIENCIA DA COMPUTACAO | CIÊNCIA DA COMPUTAÇÃO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;91067;2009;2024;2;376 | 457;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO | UNIVERSIDADE ANHANGUERA DE SÃO PAULO | UNIVERSIDADE ANHANGUERA DE SÃO PAULO - UNIAN-SP | UNIVERSIDADE BANDEIRANTE ANHANGUERA | UNIVERSIDADE BANDEIRANTE DE SAO PAULO | UNIVERSIDADE BANDEIRANTE DE SÃO PAULO;SISTEMAS DE INFORMACAO | SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;91195;2009;2024;2;1396 | 2077;Centro Universitário Dinâmica das Cataratas | FACULDADE ANGLO-AMERICANO | FACULDADE ANGLOAMERICANO;CIENCIA DA COMPUTACAO | CIÊNCIA DA COMPUTAÇÃO | Ciência Da Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;91868;2009;2024;2;22015 | 3684;FUNDACAO DE ENSINO SUPERIOR DE CLEVELANDIA | FUNDAÇÃO DE ENSINO SUPERIOR DE CLEVELÂNDIA | Faculdade Municipal de Educação e Meio Ambiente;Análise E Desenvolvimento De Sistemas | CURSO SUPERIOR DE TECNOLOGIA EM INFORMATICA SISTEMAS DE INFORMACAO | INFORMÁTICA | Informática;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;91963;2009;2013;2;14156 | 308;Faculdade Presidente Antônio Carlos de Teófilo Otoni | UNIVERSIDADE PRESIDENTE ANTONIO CARLOS;CIENCIA DA COMPUTACAO | CIÊNCIA DA COMPUTAÇÃO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;92943;2009;2012;2;14029 | 308;Faculdade Presidente Antônio Carlos de Aimorés | UNIVERSIDADE PRESIDENTE ANTONIO CARLOS;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;95381;2009;2012;2;14248 | 308;Faculdade Presidente Antônio Carlos de Uberlândia | UNIVERSIDADE PRESIDENTE ANTONIO CARLOS;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;9586;2009;2019;2;416 | 459;FACULDADE DE SÃO PAULO | FACULDADE RENASCENCA;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | CURSO SUPERIOR DE TECNOLOGIA EM INFORMATICA | INFORMÁTICA;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;96938;2009;2024;2;2279 | 3169;Centro Universitário Metrocamp Wyden | FACULDADE DE TECNOLOGIA IBTA CAMPINAS | Faculdade METROCAMP;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas | CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMASAGRUPAMENTO DE AREA PROFISSIONAL INFORMATICA E DE TELECOMUNICACOES;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;99954;2009;2024;2;1561 | 2010;FACULDADE DE CIENCIAS E LETRAS | FACULDADE DE CIÊNCIAS E LETRAS | FACULDADE ESAMC SOROCABA;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas | CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMASAGRUPAMENTO DE AREAS PROFISSIONAIS INFORMATICA E TELECOMUNICACAO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;99978;2009;2023;2;1561 | 2010;FACULDADE DE CIENCIAS E LETRAS | FACULDADE DE CIÊNCIAS E LETRAS | FACULDADE ESAMC SOROCABA;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORESAGRUPAMENTO DE AREAS PROFISSIONAIS INFORMATICA E TELECOMUNICACAO | REDES DE COMPUTADORES | Redes De Computadores;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
