NU_ANO_CENSO;CO_IES;CO_CURSO;NO_IES;NO_CURSO;CO_MUNICIPIO;NO_MUNICIPIO;REGRA;EVIDENCIA;IMPACTO;STATUS
2024;165;1452878;UNIVERSIDADE VEIGA DE ALMEIDA;Gestão Da Tecnologia Da Informação;;;ead_concentracao_100_mais;"10 municipios; 1 zerados; 0 valores ausentes; total 500.0; maior 458.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2024;1772;1537996;Centro Universitário Fanor Wyden;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"5 municipios; 2 zerados; 0 valores ausentes; total 746.0; maior 723.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2024;17854;1454503;Centro Universitário Unifecaf;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"28 municipios; 27 zerados; 0 valores ausentes; total 1508.0; maior 1508.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2024;17854;1502339;Centro Universitário Unifecaf;Engenharia Da Computação;;;ead_concentracao_100_mais;"8 municipios; 7 zerados; 0 valores ausentes; total 215.0; maior 215.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2024;17854;1502343;Centro Universitário Unifecaf;Gestão Da Tecnologia Da Informação;;;ead_concentracao_100_mais;"20 municipios; 19 zerados; 0 valores ausentes; total 585.0; maior 585.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2024;1892;1308555;Centro Universitário de Excelência Eniac;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"15 municipios; 1 zerados; 0 valores ausentes; total 596.0; maior 570.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2024;1892;1486128;Centro Universitário de Excelência Eniac;Sistemas De Informação;;;ead_concentracao_100_mais;"5 municipios; 0 zerados; 0 valores ausentes; total 132.0; maior 126.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2024;1958;1262814;Centro Universitário SENAI Santa Catarina;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"5 municipios; 0 zerados; 0 valores ausentes; total 278.0; maior 263.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2024;2279;1556257;Centro Universitário Metrocamp Wyden;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"11 municipios; 1 zerados; 0 valores ausentes; total 281.0; maior 264.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2024;2497;1473201;CENTRO UNIVERSITÁRIO ATENEU;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"16 municipios; 5 zerados; 0 valores ausentes; total 260.0; maior 242.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2024;2950;1429915;Centro Universitário FADERGS;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"8 municipios; 1 zerados; 0 valores ausentes; total 161.0; maior 147.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2024;338;1550657;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;Análise E Desenvolvimento De Sistemas;;;ead_concentracao_100_mais;"5 municipios; 0 zerados; 0 valores ausentes; total 1278.0; maior 1274.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
