NU_ANO_CENSO;CO_IES;NO_IES;N_CURSOS;N_CURSOS_ALERTA;N_CURSOS_ATENCAO;N_CURSOS_INFORMACAO;N_CURSOS_SEM_OBSERVACOES;PCT_CURSOS_COM_ALERTA;PRINCIPAIS_OBSERVACOES;TEXTO_ENTENDA
2011;5403;FACULDADES OPET;4;0;0;0;4;0.0;;Em 2011, FACULDADES OPET tem 4 cursos de Computação na base. Nenhum tem observações.
2011;543;FACULDADE DE CIÊNCIAS DA FUNDAÇÃO INSTITUTO TECNOLÓGICO DE OSASCO;1;1;0;0;0;100.0;Zero inscritos informados (1 curso);Em 2011, FACULDADE DE CIÊNCIAS DA FUNDAÇÃO INSTITUTO TECNOLÓGICO DE OSASCO tem 1 curso de Computação na base. 1 fica de fora de algum gráfico. Principais observações: Zero inscritos informados (1 curso).
2011;5439;FACULDADES INTEGRADAS DA UNIÃO EDUCACIONAL DO PLANALTO CENTRAL - FACIPLAC;3;0;0;0;3;0.0;;Em 2011, FACULDADES INTEGRADAS DA UNIÃO EDUCACIONAL DO PLANALTO CENTRAL - FACIPLAC tem 3 cursos de Computação na base. Nenhum tem observações.
2011;545;FACULDADE DE CIÊNCIAS ADMINISTRATIVAS E CONTÁBEIS DE ITABIRA;1;0;0;1;0;0.0;Código do curso aparece em outra instituição (1 curso);Em 2011, FACULDADE DE CIÊNCIAS ADMINISTRATIVAS E CONTÁBEIS DE ITABIRA tem 1 curso de Computação na base. 1 tem só nota informativa. Principais observações: Código do curso aparece em outra instituição (1 curso).
2011;5451;FACULDADE ANHANGÜERA DE BAURU;2;0;0;0;2;0.0;;Em 2011, FACULDADE ANHANGÜERA DE BAURU tem 2 cursos de Computação na base. Nenhum tem observações.
2011;546;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO;3;0;0;0;3;0.0;;Em 2011, PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO tem 3 cursos de Computação na base. Nenhum tem observações.
2011;547;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;3;1;0;0;2;33.3;Zero inscritos informados (1 curso);Em 2011, UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO tem 3 cursos de Computação na base. 1 fica de fora de algum gráfico. Principais observações: Zero inscritos informados (1 curso).
2011;548;UNIVERSIDADE FEDERAL DO MARANHÃO;1;0;0;0;1;0.0;;Em 2011, UNIVERSIDADE FEDERAL DO MARANHÃO tem 1 curso de Computação na base. Nenhum tem observações.
2011;549;UNIVERSIDADE FEDERAL DO ACRE;1;0;0;0;1;0.0;;Em 2011, UNIVERSIDADE FEDERAL DO ACRE tem 1 curso de Computação na base. Nenhum tem observações.
2011;55;UNIVERSIDADE DE SÃO PAULO;7;1;0;1;5;14.3;"Zero inscritos informados (1 curso); Classificação do curso mudou ao longo dos anos (1 curso)";"Em 2011, UNIVERSIDADE DE SÃO PAULO tem 7 cursos de Computação na base. 1 fica de fora de algum gráfico e 1 tem só nota informativa. Principais observações: Zero inscritos informados (1 curso); Classificação do curso mudou ao longo dos anos (1 curso)."
2011;5520;FACULDADE CATHEDRAL;1;0;0;0;1;0.0;;Em 2011, FACULDADE CATHEDRAL tem 1 curso de Computação na base. Nenhum tem observações.
2011;5537;FACULDADES VALE DO CARANGOLA - FAVALE;1;1;0;0;0;100.0;"Zero inscritos informados (1 curso); Código do curso aparece em outra instituição (1 curso)";"Em 2011, FACULDADES VALE DO CARANGOLA - FAVALE tem 1 curso de Computação na base. 1 fica de fora de algum gráfico. Principais observações: Zero inscritos informados (1 curso); Código do curso aparece em outra instituição (1 curso)."
2011;555;UNIVERSIDADE DE FORTALEZA;2;0;0;0;2;0.0;;Em 2011, UNIVERSIDADE DE FORTALEZA tem 2 cursos de Computação na base. Nenhum tem observações.
2011;5550;FACULDADE ANHANGUERA DE ANÁPOLIS;3;0;0;0;3;0.0;;Em 2011, FACULDADE ANHANGUERA DE ANÁPOLIS tem 3 cursos de Computação na base. Nenhum tem observações.
2011;5593;FACULDADE ADVENTISTA DE HORTOLÂNDIA;1;0;0;1;0;0.0;Código do curso aparece em outra instituição (1 curso);Em 2011, FACULDADE ADVENTISTA DE HORTOLÂNDIA tem 1 curso de Computação na base. 1 tem só nota informativa. Principais observações: Código do curso aparece em outra instituição (1 curso).
2011;5599;LIBERTAS - FACULDADES INTEGRADAS;1;0;0;0;1;0.0;;Em 2011, LIBERTAS - FACULDADES INTEGRADAS tem 1 curso de Computação na base. Nenhum tem observações.
2011;56;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;5;0;1;0;4;0.0;Inscritos iguais às vagas ou aos ingressantes (1 curso);Em 2011, UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO tem 5 cursos de Computação na base. 1 aparece com aviso. Principais observações: Inscritos iguais às vagas ou aos ingressantes (1 curso).
2011;5627;FACULDADE DE TECNOLOGIA DE PRESIDENTE PRUDENTE;1;0;0;0;1;0.0;;Em 2011, FACULDADE DE TECNOLOGIA DE PRESIDENTE PRUDENTE tem 1 curso de Computação na base. Nenhum tem observações.
2011;5633;FACULDADE DE TECNOLOGIA DE BRAGANÇA PAULISTA;1;0;1;0;0;0.0;Inscritos iguais às vagas ou aos ingressantes (1 curso);Em 2011, FACULDADE DE TECNOLOGIA DE BRAGANÇA PAULISTA tem 1 curso de Computação na base. 1 aparece com aviso. Principais observações: Inscritos iguais às vagas ou aos ingressantes (1 curso).
