FLAG;USO;TRATAMENTO;DECISAO
FL_ROTULO_MUDA_NA_SERIE;PRESENCA;-;D10
FL_CO_CURSO_EM_VARIAS_IES;PRESENCA;-;D10
FL_MUN_ZERO_3_ANOS;PRESENCA;sinalizar;D10
FL_PROXY_OCDE_2017;PRESENCA;-;D10
FL_EAD_SEM_TERRITORIO;PRESENCA;sinalizar;D10
FL_VAGAS_REPETIDAS;VAGAS;sinalizar;D03
FL_VAGAS_IES_ANO_SUSPEITO;VAGAS;excluir;D03
FL_INSCRITO_IGUAL;VAGAS;-;D04
FL_INSCRITO_ZERO;VAGAS;-;D07
FL_MAT_ZERO_COM_ING;VAGAS;-;D10
FL_MAT_CAI_A_ZERO;VAGAS;-;D10
FL_ZERO_LACUNA_50;VAGAS;-;D10
FL_SALTO_MAT;VAGAS;-;D10
FL_EAD_DISTRIB_ATIPICA;VAGAS;-;D02
FL_MUDANCA_DISTRIBUICAO;VAGAS;-;D10
FL_NOME_ROTULO_DIVERGENTE;VAGAS;-;D10
FL_ROTULO_EM_DEFINICAO;VAGAS;-;D10
FL_EAD_MUNICIPIOS_ZERADOS_AMPLA;VAGAS;-;D02
FL_EAD_TODOS_MUN_ZERO;VAGAS;-;D10
FL_TUDO_ZERO;VAGAS;-;D10
FL_BAIXA_ATIVIDADE;VAGAS;-;D10
FL_INTERDISCIPLINAR;VAGAS;-;D10
FL_ROTULO_MUDA_NA_SERIE;VAGAS;-;D10
FL_CO_CURSO_EM_VARIAS_IES;VAGAS;-;D10
FL_MUN_ZERO_3_ANOS;VAGAS;-;D10
FL_PROXY_OCDE_2017;VAGAS;-;D10
FL_EAD_SEM_TERRITORIO;VAGAS;-;D10
FL_VAGAS_REPETIDAS;INSCRITOS;-;D03
FL_VAGAS_IES_ANO_SUSPEITO;INSCRITOS;-;D03
FL_INSCRITO_IGUAL;INSCRITOS;sinalizar;D04
FL_INSCRITO_ZERO;INSCRITOS;excluir;D07
FL_MAT_ZERO_COM_ING;INSCRITOS;-;D10
FL_MAT_CAI_A_ZERO;INSCRITOS;-;D10
FL_ZERO_LACUNA_50;INSCRITOS;-;D10
FL_SALTO_MAT;INSCRITOS;-;D10
FL_EAD_DISTRIB_ATIPICA;INSCRITOS;-;D02
FL_MUDANCA_DISTRIBUICAO;INSCRITOS;-;D10
FL_NOME_ROTULO_DIVERGENTE;INSCRITOS;-;D10
FL_ROTULO_EM_DEFINICAO;INSCRITOS;-;D10
FL_EAD_MUNICIPIOS_ZERADOS_AMPLA;INSCRITOS;-;D02
FL_EAD_TODOS_MUN_ZERO;INSCRITOS;-;D10
FL_TUDO_ZERO;INSCRITOS;-;D10
FL_BAIXA_ATIVIDADE;INSCRITOS;-;D10
FL_INTERDISCIPLINAR;INSCRITOS;-;D10
FL_ROTULO_MUDA_NA_SERIE;INSCRITOS;-;D10
FL_CO_CURSO_EM_VARIAS_IES;INSCRITOS;-;D10
FL_MUN_ZERO_3_ANOS;INSCRITOS;-;D10
FL_PROXY_OCDE_2017;INSCRITOS;-;D10
