NU_ANO_CENSO;CO_IES;NO_IES;CO_CURSO;NO_CURSO;DS_TP_MODALIDADE_ENSINO;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;CH_CURSO_ANO;FLAG;TITULO;GRAVIDADE;NV;EVIDENCIA;COMO_TRATAMOS
2015;891;FACULDADE  PITÁGORAS;1260461;SISTEMAS DE INFORMAÇÃO;Presencial;;;;2015|891|1260461;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 1260461 foi usado por 2 instituições diferentes ao longo dos anos: FACULDADE  PITÁGORAS (2015 a 2019); FACULDADE ANHANGUERA DE BELO HORIZONTE (2020 a 2024).";Aparece com aviso em: Evolução de um mesmo curso.
2015;891;FACULDADE  PITÁGORAS;1260462;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;;;;2015|891|1260462;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 1260462 foi usado por 2 instituições diferentes ao longo dos anos: FACULDADE  PITÁGORAS (2015 a 2019); FACULDADE ANHANGUERA DE BELO HORIZONTE (2020 a 2024).";Aparece com aviso em: Evolução de um mesmo curso.
2015;891;FACULDADE  PITÁGORAS;71407;SISTEMA DE INFORMAÇÃO;Presencial;;;;2015|891|71407;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 71407 foi usado por 2 instituições diferentes ao longo dos anos: FACULDADE  PITÁGORAS (2009 a 2019); FACULDADE ANHANGUERA DE BELO HORIZONTE (2020 a 2024).";Aparece com aviso em: Evolução de um mesmo curso.
2015;891;FACULDADE  PITÁGORAS;79081;SISTEMAS PARA INTERNET;Presencial;;;;2015|891|79081;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 150 inscritos, número idêntico ao de vagas (150).;Aparece com aviso em: Inscritos nos processos seletivos.
2015;891;FACULDADE  PITÁGORAS;86792;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;;;;2015|891|86792;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 86792 foi usado por 2 instituições diferentes ao longo dos anos: FACULDADE  PITÁGORAS (2009 a 2019); FACULDADE ANHANGUERA DE BELO HORIZONTE (2020 a 2024).";Aparece com aviso em: Evolução de um mesmo curso.
2015;900;FACULDADE DE CIÊNCIAS ADMINISTRATIVAS E DE TECNOLOGIA;109252;SISTEMAS DE INFORMAÇÃO;Presencial;;;;2015|900|109252;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 60 inscritos, número idêntico ao de vagas (60).;Aparece com aviso em: Inscritos nos processos seletivos.
2015;900;FACULDADE DE CIÊNCIAS ADMINISTRATIVAS E DE TECNOLOGIA;17470;SISTEMAS PARA INTERNET;Presencial;;;;2015|900|17470;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 60 inscritos, número idêntico ao de vagas (60).;Aparece com aviso em: Inscritos nos processos seletivos.
2016;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;1128077;SISTEMAS DE INFORMAÇÃO;Presencial;;;;2016|1|1128077;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 1128077 foi usado por 2 instituições diferentes ao longo dos anos: UNIVERSIDADE FEDERAL DE MATO GROSSO (2011 a 2019); Universidade Federal de Rondonópolis (2020 a 2024).";Aparece com aviso em: Evolução de um mesmo curso.
2016;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;118914;SISTEMAS PARA INTERNET;Presencial;;;;2016|10|118914;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2016;1036;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;20856;ENGENHARIA DE COMPUTAÇÃO;Presencial;;;;2016|1036|20856;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 20856 foi usado por 2 instituições diferentes ao longo dos anos: INSTITUTO SUPERIOR DE ENSINO E PESQUISA DE ITUIUTABA (2009 a 2013); UNIVERSIDADE DO ESTADO DE MINAS GERAIS (2014 a 2024).";Aparece com aviso em: Evolução de um mesmo curso.
2016;1036;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;5000324;ENGENHARIA DE COMPUTAÇÃO;Presencial;;;;2016|1036|5000324;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 5000324 foi usado por 2 instituições diferentes ao longo dos anos: INSTITUTO DE ENSINO SUPERIOR E PESQUISA (2011 a 2013); UNIVERSIDADE DO ESTADO DE MINAS GERAIS (2014 a 2024).";Aparece com aviso em: Evolução de um mesmo curso.
2016;1036;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;60406;SISTEMAS DE INFORMAÇÃO;Presencial;;;;2016|1036|60406;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 60406 foi usado por 2 instituições diferentes ao longo dos anos: FACULDADE DE INFORMÁTICA DE PASSOS (2009 a 2013); UNIVERSIDADE DO ESTADO DE MINAS GERAIS (2014 a 2024).";Aparece com aviso em: Evolução de um mesmo curso.
2016;1036;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;60560;SISTEMA DE INFORMAÇÃO;Presencial;;;;2016|1036|60560;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 60560 foi usado por 2 instituições diferentes ao longo dos anos: INSTITUTO SUPERIOR DE ENSINO E PESQUISA DE ITUIUTABA (2009 a 2013); UNIVERSIDADE DO ESTADO DE MINAS GERAIS (2014 a 2024).";Aparece com aviso em: Evolução de um mesmo curso.
