NU_ANO_CENSO;CO_IES;NO_IES;CO_CURSO;NO_CURSO;DS_TP_MODALIDADE_ENSINO;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;CH_CURSO_ANO;FLAG;TITULO;GRAVIDADE;NV;EVIDENCIA;COMO_TRATAMOS
2009;1032;CENTRO UNIVERSITARIO SALESIANO DE SAO PAULO;19354;ANALISE DE SISTEMAS;Presencial;;;;2009|1032|19354;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, mas o curso teve 1 ingressante.;Fica de fora de: Inscritos nos processos seletivos.
2009;1032;CENTRO UNIVERSITARIO SALESIANO DE SAO PAULO;81070;CURSO SUPERIOR DE TECNOLOGIA EM SOFTWARE LIVRE;Presencial;;;;2009|1032|81070;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;1046;UNIAO DAS FACULDADES DOS GRANDES LAGOS  UNILAGO;82748;SISTEMAS DE INFORMACAO;Presencial;;;;2009|1046|82748;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 100 inscritos, número idêntico ao de vagas (100).;Aparece com aviso em: Inscritos nos processos seletivos.
2009;1058;CENTRO UNIVERSITARIO DA BAHIA;88154;CIENCIA DA COMPUTACAO;Presencial;;;;2009|1058|88154;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 200 inscritos, número idêntico ao de vagas (200).;Aparece com aviso em: Inscritos nos processos seletivos.
2009;1066;INSTITUTO DE ENSINO E PESQUISA OBJETIVO;58808;CIENCIA DA COMPUTACAO;Presencial;;;;2009|1066|58808;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 58808 foi usado por 2 instituições diferentes ao longo dos anos: INSTITUTO DE ENSINO E PESQUISA OBJETIVO (2009 a 2019); FACULDADE DE PALMAS (2020 a 2024).";Aparece com aviso em: Evolução de um mesmo curso.
2009;1066;INSTITUTO DE ENSINO E PESQUISA OBJETIVO;72088;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES AGRUPAMENTO DE AREAS PROFISSIONAIS INFORMATICA E TELECOMUNICACAO;Presencial;;;;2009|1066|72088;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 72088 foi usado por 2 instituições diferentes ao longo dos anos: INSTITUTO DE ENSINO E PESQUISA OBJETIVO (2009 a 2019); FACULDADE DE PALMAS (2020 a 2022).";Aparece com aviso em: Evolução de um mesmo curso.
2009;1082;INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO GRANDE DO NORTE;60938;CURSO SUPERIOR DE TECNOLOGIA EM DESENVOLVIMENTO DE SOFTWARE - Campus Natal-Central;Presencial;;;;2009|1082|60938;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;1093;FACULDADE DE CIENCIAS JURIDICAS E GERENCIAIS DE GARCA;46771;SISTEMAS DE INFORMACAO;Presencial;;;;2009|1093|46771;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 46771 foi usado por 2 instituições diferentes ao longo dos anos: FACULDADE DE CIÊNCIAS JURÍDICAS E GERENCIAIS DE GARÇA (2009 a 2012); FACULDADE DE ENSINO SUPERIOR E FORMAÇÃO INTEGRAL (2013 a 2014).";Aparece com aviso em: Evolução de um mesmo curso.
2009;1096;FACULDADE DE PRESIDENTE EPITACIO  FAPE;48503;CIENCIA DA COMPUTACAO;Presencial;;;;2009|1096|48503;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, mas o curso teve 1 ingressante e 50 vagas.;Fica de fora de: Inscritos nos processos seletivos.
2009;11;UNIVERSIDADE CATOLICA DE PERNAMBUCO;52973;SISTEMAS DE INFORMACAO  COM ENFASE EM TELEMATICA;Presencial;;;;2009|11|52973;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;1129;CENTRO UNIVERSITARIO DO NORTE PAULISTA;81137;ENGENHARIA - ENGENHARIA DA COMPUTACAO;Presencial;;;;2009|1129|81137;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 95 inscritos, número idêntico ao de ingressantes (95).;Aparece com aviso em: Inscritos nos processos seletivos.
2009;1151;FACULDADE DE ADMINISTRACAO E NEGOCIOS DE SERGIPE;118366;CURSO SUPERIOR DE TECNOLOGIA EM SISTEMAS PARA INTERNET EIXO TECNOLOGICO INFORMACAO E COMUNICACAO;Presencial;;;;2009|1151|118366;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, mas o curso teve 1 ingressante.;Fica de fora de: Inscritos nos processos seletivos.
2009;1151;FACULDADE DE ADMINISTRACAO E NEGOCIOS DE SERGIPE;118366;CURSO SUPERIOR DE TECNOLOGIA EM SISTEMAS PARA INTERNET EIXO TECNOLOGICO INFORMACAO E COMUNICACAO;Presencial;;;;2009|1151|118366;FL_MAT_ZERO_COM_ING;Zero matrículas, mas com ingressantes;Alerta;3;O curso informou 0 matrículas em 2009, mas registrou 1 ingressante e 1 trancado no mesmo ano.;Fica de fora de: Alunos desvinculados e trancados e Evolução de um mesmo curso. Aparece com aviso em: Matrículas, ingressantes e concluintes ao longo dos anos.
2009;1151;FACULDADE DE ADMINISTRACAO E NEGOCIOS DE SERGIPE;118368;CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DA TECNOLOGIA DA INFORMACAO EIXOTECNOLOGICO INFORMACAO E COMUNICACAO;Presencial;;;;2009|1151|118368;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, mas o curso teve 1 ingressante.;Fica de fora de: Inscritos nos processos seletivos.
2009;1151;FACULDADE DE ADMINISTRACAO E NEGOCIOS DE SERGIPE;118368;CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DA TECNOLOGIA DA INFORMACAO EIXOTECNOLOGICO INFORMACAO E COMUNICACAO;Presencial;;;;2009|1151|118368;FL_MAT_ZERO_COM_ING;Zero matrículas, mas com ingressantes;Alerta;3;O curso informou 0 matrículas em 2009, mas registrou 1 ingressante e 1 trancado no mesmo ano.;Fica de fora de: Alunos desvinculados e trancados e Evolução de um mesmo curso. Aparece com aviso em: Matrículas, ingressantes e concluintes ao longo dos anos.
2009;1158;FACULDADE RUY BARBOSA DE CIENCIA DA COMPUTACAO;18267;CIENCIA DA COMPUTACAO;Presencial;;;;2009|1158|18267;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 18267 foi usado por 2 instituições diferentes ao longo dos anos: FACULDADE RUY BARBOSA DE CIENCIA DA COMPUTACAO (2009 a 2009); Centro Universitário Ruy Barbosa Wyden (2010 a 2024).";Aparece com aviso em: Evolução de um mesmo curso.
2009;1181;FACULDADE BRASILIA DE SAO PAULO;20712;SISTEMAS DE INFORMACAO;Presencial;;;;2009|1181|20712;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos para 100 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;12;FUNDACAO UNIVERSIDADE FEDERAL DO RIO GRANDE;112630;CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;;;;2009|12|112630;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 112630 foi usado por 2 instituições diferentes ao longo dos anos: UNIVERSIDADE FEDERAL DO RIO GRANDE (2009 a 2012); INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL (2013 a 2024).";Aparece com aviso em: Evolução de um mesmo curso.
2009;1208;FACULDADE DE NATAL;67947;SISTEMAS DE INFORMACAO;Presencial;;;;2009|1208|67947;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;1208;FACULDADE DE NATAL;67947;SISTEMAS DE INFORMACAO;Presencial;;;;2009|1208|67947;FL_BAIXA_ATIVIDADE;Curso com pouquíssima atividade na série;Informação;1;Em 4 anos na base, este curso somou 7 matrículas, com metade ou mais dos anos sem nenhuma.;Aparece com aviso em: Quantidade de cursos e instituições e Evolução de um mesmo curso.
2009;1228;FACULDADE DE TECNOLOGIA EMPRESARIAL;107964;CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DA TECNOLOGIA DA INFORMACAO EIXOTECNOLOGICO INFORMACAO E COMUNICACAO;Presencial;;;;2009|1228|107964;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 107964 foi usado por 2 instituições diferentes ao longo dos anos: FACULDADE DE TECNOLOGIA EMPRESARIAL (2009 a 2009); Centro Universitário Ruy Barbosa Wyden (2010 a 2023).";Aparece com aviso em: Evolução de um mesmo curso.
2009;13;UNIVERSIDADE DE CAXIAS DO SUL;1135;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSAMENTO DE DADOS;Presencial;;;;2009|13|1135;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;13;UNIVERSIDADE DE CAXIAS DO SUL;64933;CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS EIXO TECNOLOGICO INFORMACAO E COMUNICACAO;Presencial;;;;2009|13|64933;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;13;UNIVERSIDADE DE CAXIAS DO SUL;64933;CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS EIXO TECNOLOGICO INFORMACAO E COMUNICACAO;Presencial;;;;2009|13|64933;FL_BAIXA_ATIVIDADE;Curso com pouquíssima atividade na série;Informação;1;Em 4 anos na base, este curso somou 7 matrículas, com metade ou mais dos anos sem nenhuma.;Aparece com aviso em: Quantidade de cursos e instituições e Evolução de um mesmo curso.
2009;1325;FACULDADE DE APUCARANA;19990;SISTEMAS DE INFORMACAO;Presencial;;;;2009|1325|19990;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 80 inscritos, número idêntico ao de vagas (80).;Aparece com aviso em: Inscritos nos processos seletivos.
2009;1335;INSTITUTO DE ENSINO SUPERIOR THATHI;21266;CIENCIA DA COMPUTACAO;Presencial;;;;2009|1335|21266;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 100 inscritos, número idêntico ao de vagas (100).;Aparece com aviso em: Inscritos nos processos seletivos.
2009;1351;INSTITUTO SUPERIOR TUPY  IST;91519;CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE SISTEMAS DE INFORMACAO MODALIDADE A DISTANCIA AREA PROFISSIONALGESTAO;EaD;;;;2009|1351|91519;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;1365;CENTRO UNIVERSITARIO ADVENTISTA DE SAO PAULO;120162;CURSO SUPERIOR DE TECNOLOGIA EM SISTEMAS PARA INTERNET EIXO TECNOLOGICO INFORMACAO E COMUNICACAO;Presencial;;;;2009|1365|120162;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 100 inscritos, número idêntico ao de vagas (100).;Aparece com aviso em: Inscritos nos processos seletivos.
2009;137;UNIVERSIDADE DO SAGRADO CORACAO;4414;ANALISE DE SISTEMAS;Presencial;;;;2009|137|4414;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos para 60 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;137;UNIVERSIDADE DO SAGRADO CORACAO;54167;SISTEMAS DE INFORMACAO;Presencial;;;;2009|137|54167;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos para 60 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;1385;FACULDADES INTEGRADAS IPEP;40086;CIENCIA DA COMPUTACAO;Presencial;;;;2009|1385|40086;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos para 135 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;1406;FACULDADE DE ENGENHARIA E TECNOLOGIA DO INSTITUTO MAIRIPORA DE ENSINO SUPERIOR;20603;SISTEMAS DE INFORMACAO;Presencial;;;;2009|1406|20603;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos para 60 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;1410;AREA  FACULDADE DE CIENCIA E TECNOLOGIA;55173;ENGENHARIA - ENGENHARIA DA COMPUTACAO;Presencial;;;;2009|1410|55173;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 55173 foi usado por 2 instituições diferentes ao longo dos anos: Faculdade Área1 Wyden (2009 a 2022); Centro Universitário Ruy Barbosa Wyden (2023 a 2024).";Aparece com aviso em: Evolução de um mesmo curso.
2009;1419;CENTRO UNIVERSITARIO CURITIBA;115692;CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;;;;2009|1419|115692;FL_MAT_ZERO_COM_ING;Zero matrículas, mas com ingressantes;Alerta;3;O curso informou 0 matrículas em 2009, mas registrou 7 ingressantes e 7 desvinculados no mesmo ano.;Fica de fora de: Alunos desvinculados e trancados e Evolução de um mesmo curso. Aparece com aviso em: Matrículas, ingressantes e concluintes ao longo dos anos.
2009;1422;CENTRO UNIVERSITARIO DO NORTE;106996;CINCIA DA COMPUTACAO;Presencial;;;;2009|1422|106996;FL_VAGAS_IES_ANO_SUSPEITO;Instituição repetiu vagas em vários cursos neste ano;Alerta;3;Em 2009, a instituição repetiu 100 vagas em 4 dos seus 6 cursos de Computação. Por isso as vagas de todos os cursos da instituição nesse ano ficam fora do gráfico de vagas. Este curso declarou 100 vagas.;Fica de fora de: Vagas oferecidas.
2009;1422;CENTRO UNIVERSITARIO DO NORTE;106996;CINCIA DA COMPUTACAO;Presencial;;;;2009|1422|106996;FL_VAGAS_REPETIDAS;Mesmo número de vagas em vários cursos;Atenção;2;Em 2009, a instituição declarou 100 vagas em 4 dos seus 6 cursos de Computação. Este curso declarou 100 vagas.;Aparece com aviso em: Vagas oferecidas.
2009;1422;CENTRO UNIVERSITARIO DO NORTE;17571;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSAMENTO DE DADOS AREA PROFISSIONAL INFORMATICA;Presencial;;;;2009|1422|17571;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos para 100 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;1422;CENTRO UNIVERSITARIO DO NORTE;17571;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSAMENTO DE DADOS AREA PROFISSIONAL INFORMATICA;Presencial;;;;2009|1422|17571;FL_VAGAS_IES_ANO_SUSPEITO;Instituição repetiu vagas em vários cursos neste ano;Alerta;3;Em 2009, a instituição repetiu 100 vagas em 4 dos seus 6 cursos de Computação. Por isso as vagas de todos os cursos da instituição nesse ano ficam fora do gráfico de vagas. Este curso declarou 100 vagas.;Fica de fora de: Vagas oferecidas.
2009;1422;CENTRO UNIVERSITARIO DO NORTE;17571;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSAMENTO DE DADOS AREA PROFISSIONAL INFORMATICA;Presencial;;;;2009|1422|17571;FL_VAGAS_REPETIDAS;Mesmo número de vagas em vários cursos;Atenção;2;Em 2009, a instituição declarou 100 vagas em 4 dos seus 6 cursos de Computação. Este curso declarou 100 vagas.;Aparece com aviso em: Vagas oferecidas.
2009;1422;CENTRO UNIVERSITARIO DO NORTE;72879;CURSO SUPERIOR DE TECNOLOGIA EM DESENVOLVIMENTO DE SOFTWARE AREA PROFISSIONAL INFORMATICA;Presencial;;;;2009|1422|72879;FL_VAGAS_IES_ANO_SUSPEITO;Instituição repetiu vagas em vários cursos neste ano;Alerta;3;Em 2009, a instituição repetiu 100 vagas em 4 dos seus 6 cursos de Computação. Por isso as vagas de todos os cursos da instituição nesse ano ficam fora do gráfico de vagas. Este curso declarou 250 vagas.;Fica de fora de: Vagas oferecidas.
2009;1422;CENTRO UNIVERSITARIO DO NORTE;92628;CURSO SUPERIOR DE TECNOLOGIA EM BANCO DE DADOS;Presencial;;;;2009|1422|92628;FL_VAGAS_IES_ANO_SUSPEITO;Instituição repetiu vagas em vários cursos neste ano;Alerta;3;Em 2009, a instituição repetiu 100 vagas em 4 dos seus 6 cursos de Computação. Por isso as vagas de todos os cursos da instituição nesse ano ficam fora do gráfico de vagas. Este curso declarou 100 vagas.;Fica de fora de: Vagas oferecidas.
2009;1422;CENTRO UNIVERSITARIO DO NORTE;92628;CURSO SUPERIOR DE TECNOLOGIA EM BANCO DE DADOS;Presencial;;;;2009|1422|92628;FL_VAGAS_REPETIDAS;Mesmo número de vagas em vários cursos;Atenção;2;Em 2009, a instituição declarou 100 vagas em 4 dos seus 6 cursos de Computação. Este curso declarou 100 vagas.;Aparece com aviso em: Vagas oferecidas.
2009;1422;CENTRO UNIVERSITARIO DO NORTE;92636;CURSO SUPERIOR DE TECNOLOGIA EM DESENVOLVIMENTO DE SISTEMAS PARA INTERNET;Presencial;;;;2009|1422|92636;FL_VAGAS_IES_ANO_SUSPEITO;Instituição repetiu vagas em vários cursos neste ano;Alerta;3;Em 2009, a instituição repetiu 100 vagas em 4 dos seus 6 cursos de Computação. Por isso as vagas de todos os cursos da instituição nesse ano ficam fora do gráfico de vagas. Este curso declarou 100 vagas.;Fica de fora de: Vagas oferecidas.
2009;1422;CENTRO UNIVERSITARIO DO NORTE;92636;CURSO SUPERIOR DE TECNOLOGIA EM DESENVOLVIMENTO DE SISTEMAS PARA INTERNET;Presencial;;;;2009|1422|92636;FL_VAGAS_REPETIDAS;Mesmo número de vagas em vários cursos;Atenção;2;Em 2009, a instituição declarou 100 vagas em 4 dos seus 6 cursos de Computação. Este curso declarou 100 vagas.;Aparece com aviso em: Vagas oferecidas.
2009;1422;CENTRO UNIVERSITARIO DO NORTE;92643;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES EIXO TECNOLOGICO INFORMACAO E COMUNICACAO;Presencial;;;;2009|1422|92643;FL_VAGAS_IES_ANO_SUSPEITO;Instituição repetiu vagas em vários cursos neste ano;Alerta;3;Em 2009, a instituição repetiu 100 vagas em 4 dos seus 6 cursos de Computação. Por isso as vagas de todos os cursos da instituição nesse ano ficam fora do gráfico de vagas. Este curso declarou 150 vagas.;Fica de fora de: Vagas oferecidas.
2009;1426;INSTITUTO LUTERANO DE ENSINO SUPERIOR DE ITUMBIARA;18735;CIENCIA DA COMPUTACAO;Presencial;;;;2009|1426|18735;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;1437;ESCOLA SUPERIOR DE TECNOLOGIA E EDUCACAO DE RIO CLARO;106134;SISTEMAS DE INFORMACAO;Presencial;;;;2009|1437|106134;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 106134 foi usado por 2 instituições diferentes ao longo dos anos: ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE RIO CLARO (2009 a 2019); CENTRO UNIVERSITÁRIO CENTRAL PAULISTA (2020 a 2021).";Aparece com aviso em: Evolução de um mesmo curso.
2009;1464;FACULDADE MODULO PAULISTA;72345;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES EIXO TECNOLOGICO INFORMACAO E COMUNICACAO;Presencial;;;;2009|1464|72345;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 72345 foi usado por 2 instituições diferentes ao longo dos anos: FACULDADE MÓDULO PAULISTA (2009 a 2011); Centro Universitário Faep (2019 a 2024).";Aparece com aviso em: Evolução de um mesmo curso.
2009;1464;FACULDADE MODULO PAULISTA;80958;CURSO SUPERIOR DE TECNOLOGIA EM ADMINISTRACAO E DESENVOLVIMENTO PARA INTERNET AREA PROFISSIONAL INFORMATICA;Presencial;;;;2009|1464|80958;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos para 150 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;1472;CENTRO UNIVERSITARIO LEONARDO DA VINCI;99974;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES;EaD;;;;2009|1472|99974;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 90 inscritos, número idêntico ao de vagas (90).;Aparece com aviso em: Inscritos nos processos seletivos.
2009;1493;FACULDADE ALVES FARIA;129120;SISTEMAS DE INFORMACAO;Presencial;;;;2009|1493|129120;FL_MAT_ZERO_COM_ING;Zero matrículas, mas com ingressantes;Alerta;3;O curso informou 0 matrículas em 2009, mas registrou 2 ingressantes e 2 desvinculados no mesmo ano.;Fica de fora de: Alunos desvinculados e trancados e Evolução de um mesmo curso. Aparece com aviso em: Matrículas, ingressantes e concluintes ao longo dos anos.
2009;15;UNIVERSIDADE CATOLICA DE PETROPOLIS;1329;CIENCIAS DA COMPUTACAO;Presencial;;;;2009|15|1329;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, mas o curso teve 2 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;1538;FACULDADE PROJECAO;109476;SISTEMAS DE INFORMACAO;Presencial;;;;2009|1538|109476;FL_MAT_ZERO_COM_ING;Zero matrículas, mas com ingressantes;Alerta;3;O curso informou 0 matrículas em 2009, mas registrou 1 ingressante e 1 desvinculado no mesmo ano.;Fica de fora de: Alunos desvinculados e trancados e Evolução de um mesmo curso. Aparece com aviso em: Matrículas, ingressantes e concluintes ao longo dos anos.
2009;1583;FACULDADE DE TECNOLOGIA DE INDAIATUBA;89748;CURSO SUPERIOR DE TECNOLOGIA EM INFORMATICA COM ENFASE EM BANCO DE DADOS E REDES DE COMPUTADORES;Presencial;;;;2009|1583|89748;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 80 inscritos, número idêntico ao de vagas (80).;Aparece com aviso em: Inscritos nos processos seletivos.
2009;1587;FACULDADES INTEGRADAS DE TANGARA DA SERRA;87991;CST em Desenvolvimento de Software;Presencial;;;;2009|1587|87991;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, mas o curso teve 2 ingressantes e 80 vagas.;Fica de fora de: Inscritos nos processos seletivos.
2009;163;UNIVERSIDADE ESTACIO DE SA;103209;CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO SISTEMAS NOVA AMERICA;Presencial;;;;2009|163|103209;FL_VAGAS_IES_ANO_SUSPEITO;Instituição repetiu vagas em vários cursos neste ano;Alerta;3;Em 2009, a instituição repetiu 80 vagas em 8 dos seus 36 cursos de Computação. Por isso as vagas de todos os cursos da instituição nesse ano ficam fora do gráfico de vagas. Este curso declarou 80 vagas.;Fica de fora de: Vagas oferecidas.
2009;163;UNIVERSIDADE ESTACIO DE SA;103209;CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO SISTEMAS NOVA AMERICA;Presencial;;;;2009|163|103209;FL_VAGAS_REPETIDAS;Mesmo número de vagas em vários cursos;Atenção;2;Em 2009, a instituição declarou 80 vagas em 8 dos seus 36 cursos de Computação. Este curso declarou 80 vagas.;Aparece com aviso em: Vagas oferecidas.
2009;163;UNIVERSIDADE ESTACIO DE SA;110716;CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS BANGU;Presencial;;;;2009|163|110716;FL_VAGAS_IES_ANO_SUSPEITO;Instituição repetiu vagas em vários cursos neste ano;Alerta;3;Em 2009, a instituição repetiu 80 vagas em 8 dos seus 36 cursos de Computação. Por isso as vagas de todos os cursos da instituição nesse ano ficam fora do gráfico de vagas. Este curso declarou 80 vagas.;Fica de fora de: Vagas oferecidas.
2009;163;UNIVERSIDADE ESTACIO DE SA;110716;CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS BANGU;Presencial;;;;2009|163|110716;FL_VAGAS_REPETIDAS;Mesmo número de vagas em vários cursos;Atenção;2;Em 2009, a instituição declarou 80 vagas em 8 dos seus 36 cursos de Computação. Este curso declarou 80 vagas.;Aparece com aviso em: Vagas oferecidas.
2009;163;UNIVERSIDADE ESTACIO DE SA;111446;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES VILA VALQUEIRE;Presencial;;;;2009|163|111446;FL_VAGAS_IES_ANO_SUSPEITO;Instituição repetiu vagas em vários cursos neste ano;Alerta;3;Em 2009, a instituição repetiu 80 vagas em 8 dos seus 36 cursos de Computação. Por isso as vagas de todos os cursos da instituição nesse ano ficam fora do gráfico de vagas. Este curso declarou 100 vagas.;Fica de fora de: Vagas oferecidas.
2009;163;UNIVERSIDADE ESTACIO DE SA;19320;SISTEMAS DE INFORMACAO;Presencial;;;;2009|163|19320;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;163;UNIVERSIDADE ESTACIO DE SA;19320;SISTEMAS DE INFORMACAO;Presencial;;;;2009|163|19320;FL_VAGAS_IES_ANO_SUSPEITO;Instituição repetiu vagas em vários cursos neste ano;Alerta;3;Em 2009, a instituição repetiu 80 vagas em 8 dos seus 36 cursos de Computação. Por isso as vagas de todos os cursos da instituição nesse ano ficam fora do gráfico de vagas. Este curso declarou 0 vagas.;Fica de fora de: Vagas oferecidas.
2009;163;UNIVERSIDADE ESTACIO DE SA;19327;SISTEMAS DE INFORMACAO;Presencial;;;;2009|163|19327;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;163;UNIVERSIDADE ESTACIO DE SA;19327;SISTEMAS DE INFORMACAO;Presencial;;;;2009|163|19327;FL_VAGAS_IES_ANO_SUSPEITO;Instituição repetiu vagas em vários cursos neste ano;Alerta;3;Em 2009, a instituição repetiu 80 vagas em 8 dos seus 36 cursos de Computação. Por isso as vagas de todos os cursos da instituição nesse ano ficam fora do gráfico de vagas. Este curso declarou 0 vagas.;Fica de fora de: Vagas oferecidas.
